"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1959","testFormFields","Surefire suite","Mon Oct 27 19:58:00 UTC 2025","broken","Mon Oct 27 19:58:02 UTC 2025","FormFieldsTest","Surefire test","FormFieldsTest","testFormFields"
"","574","testRequiredMessage","Surefire suite","Mon Oct 27 19:58:04 UTC 2025","passed","Mon Oct 27 19:58:05 UTC 2025","FormFieldsTest","Surefire test","FormFieldsTest","testRequiredMessage"
"","387","testPlaceHolderMessage","Surefire suite","Mon Oct 27 19:58:03 UTC 2025","passed","Mon Oct 27 19:58:03 UTC 2025","FormFieldsTest","Surefire test","FormFieldsTest","testPlaceHolderMessage"
